name,state,lat,lon
Kute Panang,Aceh,4.6979157,96.76137940829173
North Labuhanbatu,North Sumatra,2.4634731,99.72287582407526
Sawahlunto,West Sumatra,-0.6818141,100.778552
Langgam,Riau,0.040397,101.6722123
Tebo,Jambi,-1.3884531,102.44058987594906
Handayani Mulya,South Sumatra,-3.303079,103.90467894490517
Bengkulu Tengah,Bengkulu,-3.67122725,102.3875619282469
Lampung Tengah,Lampung,-4.8728473,105.32601289261834
Bangka Selatan,Bangka-Belitung Islands,-2.77689755,106.29395838150067
Natuna,Riau Islands,3.93051655,108.19015031384608
Bandung,West Java,-7.06134235,107.6342883447783
Temanggung,Central Java,-7.2397576,110.12166479843259
Bawuran,Special Region of Yogyakarta,-7.8769216,110.4195518
Jombang,East Java,-7.5384528,112.2379884
Pandeglang,Banten,-6.54737655,105.79948786292081
Tabanan,Bali,-8.5392306,115.1265683
Sumbawa,West Nusa Tenggara,-8.73412725,117.4959869902373
Ngada,East Nusa Tenggara,-8.6499482,120.98670703234544
Sungai Tebelian,West Kalimantan,-0.16192075,111.51762598107955
Katingan,Central Kalimantan,-1.85955785,113.33690507947381
Banjar,South Kalimantan,-3.277563,115.02843886396013
Kutai Timur,East Kalimantan,0.9453606999999999,117.01108842636916
Bolaang Mongondow,North Sulawesi,0.7207701,123.98703667287687
Morowali Utara,Central Sulawesi,-1.8418842,121.07716959122936
South Sulawesi,South Sulawesi,-3.6446718,119.9471906
Konawe Selatan,Southeast Sulawesi,-4.2599185,122.4498522428052
Boalemo,Gorontalo,0.6876201500000001,122.3356833162286
Mamasa,West Sulawesi,-3.0003659,119.32090868335239
Seram Bagian Timur,Maluku,-3.42315865,130.3910924134346
Halmahera Utara,North Maluku,1.6178705,127.8584679014164
Teluk Bintuni,West Papua,-2.1138854,133.5287755
Nduga,Highland Papua,-4.4431202,138.22483809556405
South Tangerang,Banten,-6.3227016,106.7085737
Banyuwangi,East Java,-8.2094973,114.3737201
Madiun,East Java,-7.6290837,111.5168819
Ponorogo,East Java,-7.8710975,111.4623017
Magetan,East Java,-7.6560219,111.3281197
Pacitan,East Java,-8.1017184,111.14467109984247
Ngawi,East Java,-7.402722,111.4443448
Bangkalan,East Java,-7.0294703,112.7473329
Kediri City,East Java,-7.8111057,112.0046051
Bondowoso,East Java,-7.9134402,113.8222709
Blitar,East Java,-8.0982442,112.1650769
Trenggalek,East Java,-8.0490793,111.7090951
Tulungagung,East Java,-8.0661437,111.9008897
Nganjuk,East Java,-7.6023595,111.9010553
Situbondo,East Java,-7.7067843,114.0054142
Kabupaten Malang,East Java,-8.10479815,112.68798721390587
Jember,East Java,-8.1688563,113.7021772
Kota Sumenep,East Java,-7.006745,113.8598666
Cirebon,West Java,-6.7611892,108.45642319654783
Pamekasan,East Java,-7.1605439,113.4826273
Probolinggo,East Java,-7.7441461,113.2158401
Lumajang,East Java,-8.135205,113.2244162
Minahasa Selatan,North Sulawesi,1.07031,124.43616224074206
Kuta,Bali,-8.7278354,115.1730049
Purbalingga,Central Java,-7.3895937,109.3630117
Sidoarjo,East Java,-7.4460408,112.7178614
Cilacap,Central Java,-7.46167105,108.80461463117007
Sooko,East Java,-7.48946,112.4251891
Gresik,East Java,-5.79334655,112.6598223201143
Jombang,East Java,-7.5384528,112.2379884
Mojokerto,East Java,-7.4631537,112.4319852
Surabaya,East Java,-7.2459717,112.7378266
Madiun,East Java,-7.6290837,111.5168819
Blitar,East Java,-8.0982442,112.1650769
Malang,East Java,-7.9771308,112.6340265
Kota Batu,East Java,-7.8711667,112.5269482
Kota Pasuruan,East Java,-7.6399593,112.9070632
Kediri City,East Java,-7.8111057,112.0046051
Kota Probolinggo,East Java,-7.7441461,113.2158401
Batanghari,Jambi,-1.85923875,103.00750018582107
Bungo,Jambi,-1.51518755,101.9989364777984
Kerinci,Jambi,-2.0633382,101.60049438244093
Merangin,Jambi,-2.20844725,102.11710643989184
Jambi,Jambi,-1.6296917,103.6077806
Sarolangun,Jambi,-2.3312458,102.62753289964513
Tanjung Jabung Timur,Jambi,-1.17728865,104.2284818
Muaro Jambi,Jambi,-1.70765435,103.78608017766149
Tebo,Jambi,-1.3884531,102.44058987594906
Jambi,Jambi,-1.6296917,103.6077806
Sungai Penuh,Jambi,-2.0706799,101.3961054
Simeulue Tengah,Aceh,2.6148363,96.01684640313562
Gunung Meriah,Aceh,2.3415604500000002,97.95184380338938
Kluet Tengah,Aceh,3.39863605,97.33874408222226
Lawe Alas,Aceh,3.2712079999999997,97.62311266
Mutiara Timur,Aceh,5.245635,95.98067782776027
Linge,Aceh,4.3571715,97.11612061041062
Woyla Timur,Aceh,4.4629617,96.09772231826823
Indrapuri,Aceh,5.41734295,95.44902221909379
Tangse,Aceh,5.0349945,95.93556520303503
Gandapura,Aceh,5.2252793,96.88293242
Paya Bakong,Aceh,4.9350935499999995,97.22089567345769
Kluet Selatan,Aceh,3.0220241000000003,97.39667127969095
Blang Kejeren,Aceh,3.95208575,97.37487476482782
Kejuruan Muda,Aceh,4.1943295,98.02260565480667
Tadu Raya,Aceh,4.0639322,96.39748569
Setia Bakti,Aceh,4.84135375,95.69388091
Mesidah,Aceh,4.777522,97.04772041390169
Meureudu,Aceh,5.1660835,96.18242030399202
Banda Aceh,Aceh,5.5528455,95.3192908
Sabang,Aceh,5.8927453,95.3225751
Langsa,Aceh,4.4730892,97.9681841
Lhokseumawe,Aceh,5.1789659,97.1480544
Subulussalam,Aceh,2.6403146,98.0052459
Jember,East Java,-8.1688563,113.7021772
Mandailing Natal,North Sumatra,0.7456754999999999,99.21885788
South Tapanuli,North Sumatra,1.5510869,99.21175710833333
Central Tapanuli,North Sumatra,1.82312845,98.27976773073217
North Tapanuli,North Sumatra,1.9980604,99.06476586250315
Toba,North Sumatra,2.38545945,99.33146479493726
Labuhanbatu,North Sumatra,2.58081785,100.21045268770112
Asahan,North Sumatra,3.1127636,99.94169218698525
Simalungun,North Sumatra,2.9505160999999998,98.78353062383172
Dairi,North Sumatra,2.83532105,98.28450159467039
Karo,North Sumatra,3.09987505,98.33697063830981
Deli Serdang,North Sumatra,3.69524335,98.83107449
Langkat,North Sumatra,3.8293858,98.24834954457486
South Nias,North Sumatra,0.0680552,98.26223886860505
Humbang Hasundutan,North Sumatra,2.2475810000000003,98.60101988220362
Pakpak Bharat,North Sumatra,2.52988165,98.26785829127267
Samosir,North Sumatra,2.54469535,98.57191376246578
Serdang Bedagai,North Sumatra,3.5931148,99.15833094660226
Batu Bara,North Sumatra,3.5723293,99.63534445804413
Northern Padang Lawas,North Sumatra,1.6364047,99.69103752459654
Padang Lawas,North Sumatra,1.1527631500000002,99.81547692513078
Sibolga,North Sumatra,1.736957,98.78461
Tanjung Balai,North Sumatra,2.9703419,99.8020903
City of Pematang Siantar,North Sumatra,2.9588631,99.0653646
Serdang Bedagai,North Sumatra,3.5931148,99.15833094660226
City of Medan,North Sumatra,3.5896654,98.6738261
Binjai,North Sumatra,3.6063964,98.4899865
Padang Sidempuan,North Sumatra,1.372696,99.2727172
Kepulauan Mentawai,West Sumatra,-1.3587816,98.89500511469437
Pesisir Selatan,West Sumatra,-1.71857935,100.92702485095103
Solok,West Sumatra,-0.7991165,100.6529829
Sijunjung,West Sumatra,-0.6964425,100.9936303
Rambatan,West Sumatra,-0.55084805,100.57434448006529
Padang Pariaman,West Sumatra,-0.56909175,100.27702620276852
Agam,West Sumatra,-0.2547205,100.17003113862154
Limapuluh,North Sumatra,3.1707308,99.42137177032254
West Pasaman,West Sumatra,0.18753815000000001,99.69351567782829
Solok Selatan,West Sumatra,-1.5573292,101.239478
Dharmasraya,West Sumatra,-1.25863,101.5799056323597
West Pasaman,West Sumatra,0.18753815000000001,99.69351567782829
Padang,West Sumatra,-0.9247587,100.3632561
Solok,West Sumatra,-0.7991165,100.6529829
Sawahlunto,West Sumatra,-0.6818141,100.778552
Padang Panjang,West Sumatra,-0.4654636,100.3932441
Bukittinggi,West Sumatra,-0.3051954,100.3694921
Payakumbuh,West Sumatra,-0.2242687,100.6319419
Pariaman,West Sumatra,-0.6263889,100.1177778
Benai,Riau,-0.445231,101.58121701396561
Batang Cenaku,Riau,-0.6637734,102.2788836
Gaung,Riau,-0.05409145,103.0577548110422
Pelalawan,Riau,0.43811405000000003,102.13151798808715
Central Kalimantan,Central Kalimantan,-1.499583,113.2903307
Kampar Regency,Riau,0.31997325,101.06171228401269
Kepenuhan Hulu,Riau,0.99903295,100.54189019837226
Bengkalis,Riau,1.62570945,102.01531989414266
Bangko Pusako,Riau,1.7455688,100.81620230150517
Kelurahan Rintis,Riau,0.53030895,101.45501217678458
Dumai,Riau,1.6631967,101.4470369
Solok Selatan,West Sumatra,-1.5573292,101.239478
Merangin,Jambi,-2.20844725,102.11710643989184
Sarolangun,Jambi,-2.3312458,102.62753289964513
Batanghari,Jambi,-1.85923875,103.00750018582107
Jambi,Jambi,-1.6296917,103.6077806
Muaro Jambi,Jambi,-1.70765435,103.78608017766149
Tanjung Jabung Timur,Jambi,-1.17728865,104.2284818
Tebo,Jambi,-1.3884531,102.44058987594906
Bungo,Jambi,-1.51518755,101.9989364777984
Jambi,Jambi,-1.6296917,103.6077806
Semidang Aji,South Sumatra,-4.01576425,103.94723978585614
Cengal,South Sumatra,-3.5358742,105.58452009787229
Muara Enim,South Sumatra,-3.6500887,103.7719601
Lahat,South Sumatra,-3.7195712,103.54483872354442
Karang Dapo,South Sumatra,-2.7038163,102.9945159
Batanghari Leko,South Sumatra,-2.6931803,103.7888537
Muara Telang,South Sumatra,-2.66394265,104.86818688062796
Buay Rawan,South Sumatra,-4.63295185,104.04611546325089
Semendawai Timur,South Sumatra,-3.8628295,104.81347800764783
Lubuk Keliat,South Sumatra,-3.4749022,104.61752451149181
Pendopo Barat,South Sumatra,-3.75380055,102.9379924179331
Palembang,South Sumatra,-2.9888243,104.7568507
Prabumulih,South Sumatra,-3.4382688,104.2310181
Pagar Alam,South Sumatra,-4.0209526,103.2501603
Lubuklinggau,South Sumatra,-3.2919136,102.8715732
Bengkulu Selatan,Bengkulu,-4.3589877,103.00203887965941
Rejang Lebong,Bengkulu,-3.4389041,102.69848531445534
Bengkulu Utara,Bengkulu,-3.18913325,101.85764183852012
Kaur,Bengkulu,-4.5905275,103.36526129380955
Seluma,Bengkulu,-4.0768265,102.67178672180137
