latitude,longitude,location,area
4.75,96.75,"4.6979157,96.76137940829172","Kute Panang, Aceh"
2.5,99.75,"2.4634731,99.72287582407526","North Labuhanbatu, North Sumatra"
-0.75,100.75,"-0.6818141,100.778552","Sawahlunto, West Sumatra"
0.0,101.75,"0.040397,101.6722123","Langgam, Riau"
-1.5,102.5,"-1.3884531,102.44058987594906","Tebo, Jambi"
-3.25,104.0,"-3.303079,103.90467894490516","Handayani Mulya, South Sumatra"
-3.75,102.5,"-3.67122725,102.3875619282469","Bengkulu Tengah, Bengkulu"
-4.75,105.25,"-4.8728473,105.32601289261834","Lampung Tengah, Lampung"
-2.75,106.25,"-2.77689755,106.29395838150069","Bangka Selatan, Bangka-Belitung Islands"
4.0,108.25,"3.93051655,108.19015031384608","Natuna, Riau Islands"
-7.0,107.75,"-7.06134235,107.6342883447783","Bandung, West Java"
-7.25,110.0,"-7.2397576,110.1216647984326","Temanggung, Central Java"
-8.0,110.5,"-7.8769216,110.4195518","Bawuran, Special Region of Yogyakarta"
-7.5,112.25,"-7.5384528,112.2379884","Jombang, East Java"
-6.5,105.75,"-6.54737655,105.7994878629208","Pandeglang, Banten"
-8.5,115.25,"-8.5392306,115.1265683","Tabanan, Bali"
-8.75,117.5,"-8.73412725,117.4959869902373","Sumbawa, West Nusa Tenggara"
-8.75,121.0,"-8.6499482,120.98670703234544","Ngada, East Nusa Tenggara"
-0.25,111.5,"-0.16192075,111.51762598107956","Sungai Tebelian, West Kalimantan"
-1.75,113.25,"-1.85955785,113.3369050794738","Katingan, Central Kalimantan"
-3.25,115.0,"-3.277563,115.02843886396012","Banjar, South Kalimantan"
1.0,117.0,"0.9453607,117.01108842636916","Kutai Timur, East Kalimantan"
0.75,124.0,"0.7207701,123.98703667287688","Bolaang Mongondow, North Sulawesi"
-1.75,121.0,"-1.8418842,121.07716959122936","Morowali Utara, Central Sulawesi"
-3.75,120.0,"-3.6446718,119.9471906","South Sulawesi, South Sulawesi"
-4.25,122.5,"-4.2599185,122.4498522428052","Konawe Selatan, Southeast Sulawesi"
0.75,122.25,"0.6876201500000001,122.3356833162286","Boalemo, Gorontalo"
-3.0,119.25,"-3.0003659,119.3209086833524","Mamasa, West Sulawesi"
-3.5,130.5,"-3.42315865,130.3910924134346","Seram Bagian Timur, Maluku"
1.5,127.75,"1.6178705,127.8584679014164","Halmahera Utara, North Maluku"
-2.0,133.5,"-2.1138854,133.5287755","Teluk Bintuni, West Papua"
-4.5,138.25,"-4.4431202,138.22483809556405","Nduga, Highland Papua"
-6.25,106.75,"-6.3227016,106.7085737","South Tangerang, Banten"
-8.25,114.25,"-8.2094973,114.3737201","Banyuwangi, East Java"
-7.75,111.5,"-7.6290837,111.5168819","Madiun, East Java"
-7.75,111.5,"-7.8710975,111.4623017","Ponorogo, East Java"
-7.75,111.25,"-7.6560219,111.3281197","Magetan, East Java"
-8.0,111.25,"-8.1017184,111.14467109984248","Pacitan, East Java"
-7.5,111.5,"-7.402722,111.4443448","Ngawi, East Java"
-7.0,112.75,"-7.0294703,112.7473329","Bangkalan, East Java"
-7.75,112.0,"-7.8111057,112.0046051","Kediri City, East Java"
-8.0,113.75,"-7.9134402,113.8222709","Bondowoso, East Java"
-8.0,112.25,"-8.0982442,112.1650769","Blitar, East Java"
-8.0,111.75,"-8.0490793,111.7090951","Trenggalek, East Java"
-8.0,112.0,"-8.0661437,111.9008897","Tulungagung, East Java"
-7.5,112.0,"-7.6023595,111.9010553","Nganjuk, East Java"
-7.75,114.0,"-7.7067843,114.0054142","Situbondo, East Java"
-8.0,112.75,"-8.10479815,112.68798721390588","Kabupaten Malang, East Java"
-8.25,113.75,"-8.1688563,113.7021772","Jember, East Java"
-7.0,113.75,"-7.006745,113.8598666","Kota Sumenep, East Java"
-6.75,108.5,"-6.7611892,108.45642319654785","Cirebon, West Java"
-7.25,113.5,"-7.1605439,113.4826273","Pamekasan, East Java"
-7.75,113.25,"-7.7441461,113.2158401","Probolinggo, East Java"
-8.25,113.25,"-8.135205,113.2244162","Lumajang, East Java"
1.0,124.5,"1.07031,124.43616224074206","Minahasa Selatan, North Sulawesi"
-8.75,115.25,"-8.7278354,115.1730049","Kuta, Bali"
-7.5,109.25,"-7.3895937,109.3630117","Purbalingga, Central Java"
-7.5,112.75,"-7.4460408,112.7178614","Sidoarjo, East Java"
-7.5,108.75,"-7.46167105,108.80461463117008","Cilacap, Central Java"
-7.5,112.5,"-7.48946,112.4251891","Sooko, East Java"
-5.75,112.75,"-5.79334655,112.6598223201143","Gresik, East Java"
-7.5,112.5,"-7.4631537,112.4319852","Mojokerto, East Java"
-7.25,112.75,"-7.2459717,112.7378266","Surabaya, East Java"
-8.0,112.75,"-7.9771308,112.6340265","Malang, East Java"
-7.75,112.5,"-7.8711667,112.5269482","Kota Batu, East Java"
-7.75,113.0,"-7.6399593,112.9070632","Kota Pasuruan, East Java"
-7.75,113.25,"-7.7441461,113.2158401","Kota Probolinggo, East Java"
-1.75,103.0,"-1.85923875,103.00750018582109","Batanghari, Jambi"
-1.5,102.0,"-1.51518755,101.9989364777984","Bungo, Jambi"
-2.0,101.5,"-2.0633382,101.60049438244091","Kerinci, Jambi"
-2.25,102.0,"-2.20844725,102.11710643989184","Merangin, Jambi"
-1.75,103.5,"-1.6296917,103.6077806","Jambi, Jambi"
-2.25,102.75,"-2.3312458,102.62753289964512","Sarolangun, Jambi"
-1.25,104.25,"-1.17728865,104.2284818","Tanjung Jabung Timur, Jambi"
-1.75,103.75,"-1.70765435,103.78608017766147","Muaro Jambi, Jambi"
-2.0,101.5,"-2.0706799,101.3961054","Sungai Penuh, Jambi"
2.5,96.0,"2.6148363,96.01684640313562","Simeulue Tengah, Aceh"
2.25,98.0,"2.34156045,97.95184380338938","Gunung Meriah, Aceh"
3.5,97.25,"3.39863605,97.33874408222226","Kluet Tengah, Aceh"
3.25,97.5,"3.2712079999999997,97.62311266","Lawe Alas, Aceh"
5.25,96.0,"5.245635,95.98067782776027","Mutiara Timur, Aceh"
4.25,97.0,"4.3571715,97.11612061041062","Linge, Aceh"
4.5,96.0,"4.4629617,96.09772231826824","Woyla Timur, Aceh"
5.5,95.5,"5.41734295,95.4490222190938","Indrapuri, Aceh"
5.0,96.0,"5.0349945,95.93556520303504","Tangse, Aceh"
5.25,97.0,"5.2252793,96.88293242","Gandapura, Aceh"
5.0,97.25,"4.9350935499999995,97.22089567345768","Paya Bakong, Aceh"
3.0,97.5,"3.0220241000000003,97.39667127969096","Kluet Selatan, Aceh"
4.0,97.25,"3.95208575,97.37487476482782","Blang Kejeren, Aceh"
4.25,98.0,"4.1943295,98.02260565480668","Kejuruan Muda, Aceh"
4.0,96.5,"4.0639322,96.39748569","Tadu Raya, Aceh"
4.75,95.75,"4.84135375,95.69388091","Setia Bakti, Aceh"
4.75,97.0,"4.777522,97.04772041390169","Mesidah, Aceh"
5.25,96.25,"5.1660835,96.18242030399202","Meureudu, Aceh"
5.5,95.25,"5.5528455,95.3192908","Banda Aceh, Aceh"
6.0,95.25,"5.8927453,95.3225751","Sabang, Aceh"
4.5,98.0,"4.4730892,97.9681841","Langsa, Aceh"
5.25,97.25,"5.1789659,97.1480544","Lhokseumawe, Aceh"
2.75,98.0,"2.6403146,98.0052459","Subulussalam, Aceh"
0.75,99.25,"0.7456754999999999,99.21885788","Mandailing Natal, North Sumatra"
1.5,99.25,"1.5510869,99.21175710833332","South Tapanuli, North Sumatra"
1.75,98.25,"1.82312845,98.27976773073216","Central Tapanuli, North Sumatra"
2.0,99.0,"1.9980604,99.06476586250317","North Tapanuli, North Sumatra"
2.5,99.25,"2.38545945,99.33146479493726","Toba, North Sumatra"
2.5,100.25,"2.58081785,100.21045268770112","Labuhanbatu, North Sumatra"
3.0,100.0,"3.1127636,99.94169218698524","Asahan, North Sumatra"
3.0,98.75,"2.9505161,98.78353062383172","Simalungun, North Sumatra"
2.75,98.25,"2.83532105,98.2845015946704","Dairi, North Sumatra"
3.0,98.25,"3.09987505,98.3369706383098","Karo, North Sumatra"
3.75,98.75,"3.69524335,98.83107449","Deli Serdang, North Sumatra"
3.75,98.25,"3.8293858,98.24834954457486","Langkat, North Sumatra"
0.0,98.25,"0.0680552,98.26223886860504","South Nias, North Sumatra"
2.25,98.5,"2.2475810000000003,98.60101988220362","Humbang Hasundutan, North Sumatra"
2.5,98.25,"2.52988165,98.26785829127267","Pakpak Bharat, North Sumatra"
2.5,98.5,"2.54469535,98.57191376246578","Samosir, North Sumatra"
3.5,99.25,"3.5931148,99.15833094660226","Serdang Bedagai, North Sumatra"
3.5,99.75,"3.5723293,99.63534445804412","Batu Bara, North Sumatra"
1.75,99.75,"1.6364047,99.69103752459654","Northern Padang Lawas, North Sumatra"
1.25,99.75,"1.1527631500000002,99.81547692513078","Padang Lawas, North Sumatra"
1.75,98.75,"1.736957,98.78461","Sibolga, North Sumatra"
3.0,99.75,"2.9703419,99.8020903","Tanjung Balai, North Sumatra"
3.0,99.0,"2.9588631,99.0653646","City of Pematang Siantar, North Sumatra"
3.5,98.75,"3.5896654,98.6738261","City of Medan, North Sumatra"
3.5,98.5,"3.6063964,98.4899865","Binjai, North Sumatra"
1.25,99.25,"1.372696,99.2727172","Padang Sidempuan, North Sumatra"
-1.25,99.0,"-1.3587816,98.89500511469436","Kepulauan Mentawai, West Sumatra"
-1.75,101.0,"-1.71857935,100.92702485095104","Pesisir Selatan, West Sumatra"
-0.75,100.75,"-0.7991165,100.6529829","Solok, West Sumatra"
-0.75,101.0,"-0.6964425,100.9936303","Sijunjung, West Sumatra"
-0.5,100.5,"-0.55084805,100.57434448006528","Rambatan, West Sumatra"
-0.5,100.25,"-0.56909175,100.27702620276852","Padang Pariaman, West Sumatra"
-0.25,100.25,"-0.2547205,100.17003113862154","Agam, West Sumatra"
3.25,99.5,"3.1707308,99.42137177032254","Limapuluh, North Sumatra"
