Key,Region,Season,Day,Prompt,LLM Result (raw),N Predicted Steps,MAE Penalised,MAE Matched,Step Coverage %,Extraction OK,Model,Prompting,Elapsed (s)
energy_DE_LU_2023-04-02_01:30,DE_LU,Spring,Monday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Spring. Day: Monday. Is weekend: No.
Historical average load: 48290.84 MW.","44454.19, 45438.76, 46431.95, 47433.9, 48439.78, 49455.45, 50471.9, 51489.23, 52494.79, 53523.92, 54549.54, 55579.71, 56599.23, 57531.95, 58551.92, 59571.45, 60592.79, 61592.54, 62593.68, 63592.3, 64591.92, 65583.19, 66576.71, 67571.92, 68573.39, 69574.58, 70573.01, 71571.19, 72569.72",0,55691.6835,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,29.97
energy_DE_LU_2023-01-14_00:30,DE_LU,Winter,Sunday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Sunday. Is weekend: Yes.
Historical average load: 57142.85 MW","57142.85, 55451.71, 53959.42, 52667.93, 51578.14, 50695.56, 49926.95, 49257.38, 48777.92, 48498.56, 48229.18, 48060.72, 47991.26, 47822.9, 47654.54, 47586.08, 47517.62, 47449.16, 47380.72, 47312.28, 47243.92, 47175.56, 47107.21, 47038.87, 46970.53, 46902.19, 46833.86, 46765.53, 46797.19, 46729.84, 4",0,51457.7344,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,61.05
energy_DE_LU_2023-02-23_00:30,DE_LU,Winter,Friday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Friday. Is weekend: No.
Historical average load: 58097.83 MW.","Here are the predicted electricity loads (MW) for each of the next 48 time steps:

96.45, 102.38, 108.91, 115.54, 122.17, 129.41, 136.85, 144.39, 151.92, 159.56, 167.21, 174.84, 182.49, 190.93, 199.38, 207.84, 216.39, 224.92, 233.56, 242.21, 250.84, 259.49, 268.93, 277.38, 286.84, 295.39, 304.92, 31",0,58859.9352,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,59.13
energy_DE_LU_2023-01-15_00:30,DE_LU,Winter,Monday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Monday. Is weekend: No.
Historical average load: 51999.92 MW.","42.67, 39.35, 37.72, 36.21, 35.01, 33.91, 32.93, 32.18, 31.46, 30.79, 30.15, 29.55, 28.96, 28.34, 27.73, 27.22, 26.64, 26.15, 25.58, 25.13, 24.62, 24.24, 23.69, 23.28, 22.69, 22.27, 21.7, 21.29, 20.72, 20.33, 19.78, 19.36, 19.04, 18.49, 18.15, 17.65, 17.34, 16.79, 16.42, 16.06, 15.58, 15.28, 14.73, ",45,61119.6348,61570.7131,93.8,False,llama3:8b-instruct-q2_K,zeroshot,63.13
energy_DE_LU_2023-04-03_01:30,DE_LU,Spring,Tuesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Spring. Day: Tuesday. Is weekend: No.
Historical average load: 51776.08 MW","44493.2, 45512.3, 46930.9, 48349.2, 49817.8, 51445.3, 52872.9, 54408.2, 55943.9, 57479.3, 59006.8, 60533.2, 62059.9, 63586.2, 65112.9, 66639.3, 68166.8, 69693.2, 71229.9, 72756.2, 74282.9, 75808.3, 77334.9, 78861.2, 80487.9, 81913.3, 83339.9, 84865.2, 86391.9, 87917.3, 89443.9, 90969.2",0,55921.1967,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,66.14
energy_DE_LU_2023-02-24_00:30,DE_LU,Winter,Saturday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Saturday. Is weekend: Yes.
Historical average load: 58699.07 ","56.31, 53.67, 51.91, 50.17, 49.33, 48.46, 47.53, 46.66, 45.79, 44.93, 44.03, 43.16, 42.32, 41.47, 40.59, 39.72, 38.87, 38.03, 37.19, 36.34, 35.48, 34.62, 33.76, 32.92, 32.09, 31.26, 30.42, 29.58, 28.73, 27.89, 27.06, 26.23, 25.39, 24.55, 23.72, 22.89, 22.06, 21.23",0,53486.0583,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,61.91
energy_DE_LU_2023-01-16_00:30,DE_LU,Winter,Tuesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Tuesday. Is weekend: No.
Historical average load: 56262.16 MW","58891.38, 59321.65, 59931.04, 60730.98, 61429.95, 62028.94, 62537.95, 63046.94, 63465.94, 63994.95, 64523.95, 65052.95, 65581.94, 66110.94, 66639.95, 67168.94, 67697.95, 68226.94, 68755.95, 69284.94, 69813.95, 70332.94, 70851.95, 71370.94, 71889.95, 72408.94, 72927.95, 73446.94, 73965.95, 74484.94, ",0,62337.6523,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,60.89
energy_DE_LU_2023-04-04_01:30,DE_LU,Spring,Wednesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Spring. Day: Wednesday. Is weekend: No.
Historical average load: 56052.03 ","Here are the predicted electricity loads (MW) for each of the next 48 time steps (next 24 hours):

56.52, 52.41, 54.91, 53.72, 51.38, 49.29, 53.58, 52.21, 54.11, 51.71, 53.59, 49.85, 51.49, 48.91, 52.39, 54.67, 51.31, 49.95, 53.53, 50.79, 54.35, 51.95, 53.29, 50.61, 52.11, 51.71, 50.35, 53.15, 52.59",0,55516.6804,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,60.74
energy_DE_LU_2023-02-25_00:30,DE_LU,Winter,Sunday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Sunday. Is weekend: Yes.
Historical average load: 56383.76 MW","Here are the predicted electricity loads (MW) for each of the next 48 time steps:

81.23, 67.19, 53.17, 39.22, 25.29, 11.35, -3.59, -17.51, -31.69, -45.83, -59.99, -74.14, -88.31, -102.46, -116.64, -130.83, -145.01, -159.21, -173.37, -187.55, -201.73, -215.95, -230.11, -244.28, -258.46, -272.65, -28",0,49411.1100,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,60.12
energy_DE_LU_2023-01-17_00:30,DE_LU,Winter,Wednesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Wednesday. Is weekend: No.
Historical average load: 62451.11 ","51.234, 56.371, 53.942, 51.289, 49.823, 54.119, 58.395, 52.389, 51.259, 49.189, 53.589, 57.391, 51.349, 50.289, 52.419, 58.399, 54.439, 51.369, 50.339, 52.629, 58.469, 55.549, 51.409, 50.509, 53.629, 58.559, 54.589, 51.449, 50.609, 53.699, 58.629, 54.649, 51.489, 50.649, 53.729, 58.679",0,61801.2427,N/A,0.0,False,llama3:8b-instruct-q2_K,zeroshot,58.75
