Key,Region,Season,Day,Prompt,LLM Result (raw),N Predicted Steps,MAE Penalised,MAE Matched,Step Coverage %,Extraction OK,Model,Prompting,Elapsed (s)
energy_DE_LU_2023-01-02_00:30,DE_LU,Winter,Tuesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Tuesday. Is weekend: No.
Historical average load: 46361.51 MW","36605.08,35834.05,35724.39,35567.35,35695.61,36176.94,36633.15,37562.71,38745.02,40234.18,42344.32,46159.98,48867.04,51522.32,54110.17,56326.40,57210.63,57642.92,58359.92,59365.72,60263.77,60764.30,61741.61,62232.02,62117.34,61335.81,60740.94,59801.04,59725.50,59823.96,59331.20,59987.22,60910.36,61778.20,61597.21,61508.78,60992.10,60669.59,59668.22,57606.04,55483.08,54389.51,52927.86,51526.88,49834.04,48278.51,46851.46,45264.90",48,2402.3127,2402.3127,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-03_00:30,DE_LU,Winter,Wednesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Wednesday. Is weekend: No.
Historical average load: 54064.73 ","44067.50,43005.92,42574.07,42169.06,42257.44,42103.38,42390.11,43365.44,44383.10,45562.64,47032.18,50145.07,52528.52,55391.92,57474.22,58645.17,59250.12,59737.60,60187.79,60468.36,60878.51,61286.22,61904.30,61495.10,61147.26,60158.40,59497.29,59140.66,58862.42,58766.32,58529.37,59313.78,60506.10,62131.82,62940.02,62242.24,62108.30,61036.14,59660.48,58012.32,56332.14,54760.32,53633.34,52871.84,51097.70,49432.63,48237.27,47235.60",48,4407.6700,4407.6700,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-04_00:30,DE_LU,Winter,Thursday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Thursday. Is weekend: No.
Historical average load: 56707.73 M","46011.46,45277.13,45081.26,44656.38,44713.68,45168.11,45969.86,46955.74,47751.30,49319.09,51131.56,55111.71,57315.32,59684.33,61622.52,63475.80,64039.80,64286.00,65327.81,65861.38,66541.80,67237.73,67864.04,67942.48,67570.83,67087.12,66070.63,65532.17,65739.48,65173.20,64894.72,64783.33,65693.18,66968.48,67529.20,67226.80,66355.29,65326.64,63929.20,62041.27,59842.96,58530.27,57033.34,55786.30,54427.10,52718.25,51136.63,47782.98",48,2844.5833,2844.5833,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-05_00:30,DE_LU,Winter,Friday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Friday. Is weekend: No.
Historical average load: 57927.7 MW.
","46486.41,45387.86,44705.56,44921.56,45251.92,45390.66,45544.02,46218.22,46990.38,48021.20,49440.86,52378.18,54870.75,58710.52,60626.54,61997.56,62067.29,62694.56,62782.20,63090.90,63232.42,64199.26,65002.16,65006.02,64757.88,63777.15,62407.20,61594.40,61477.71,60933.26,60107.06,60264.24,61181.26,62606.30,63229.29,62904.34,62313.60,61078.60,59659.90,58046.50,56011.78,54136.16,52521.50,51333.24,49664.98,47545.24,46613.84,45026.52",48,2446.1442,2446.1442,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-06_00:30,DE_LU,Winter,Saturday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Saturday. Is weekend: Yes.
Historical average load: 54647.62 ","43818.48,42593.86,42476.50,42042.95,41974.48,42432.88,43000.79,43705.20,44563.24,45839.34,46907.04,49639.56,51315.47,53522.32,55172.02,56617.22,57590.92,58483.43,59139.29,60258.31,60960.50,61892.81,62009.50,62105.26,61573.56,60731.05,59649.09,59274.92,58825.80,58161.18,57778.36,58275.03,58886.66,60207.56,60877.58,61401.70,60918.84,59552.02,57895.86,55977.46,54618.93,53604.07,52281.73,51365.40,49925.86,48053.96,46172.56,44327.01",48,5175.8088,5175.8088,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-07_00:30,DE_LU,Winter,Sunday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Sunday. Is weekend: Yes.
Historical average load: 50979.93 MW","42990.90,41962.37,41274.92,40678.39,40486.03,40267.27,40116.35,40340.97,40728.16,41211.98,41436.44,41852.68,42464.82,44227.56,45693.32,47152.62,48549.30,50221.15,51252.46,52231.38,52644.29,53898.32,54471.48,54300.76,54189.36,53553.88,52134.51,50844.48,50752.10,50987.42,51344.12,51995.10,53331.30,55420.90,56424.11,56825.04,56526.81,55469.02,54704.51,53006.04,51516.89,50373.46,49599.04,49130.66,47606.87,45946.64,44486.68,43335.88",48,1352.2654,1352.2654,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-08_00:30,DE_LU,Winter,Monday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Monday. Is weekend: No.
Historical average load: 47822.45 MW.","42541.02,41460.16,40781.24,40309.46,40149.79,40427.44,40484.02,40391.98,40691.74,40504.25,40338.21,40092.26,40568.21,41006.96,41938.80,43359.56,44940.98,46862.84,48342.01,49394.86,50527.20,52161.04,52960.00,52507.58,52113.80,51244.42,50254.94,49386.19,48868.62,48690.86,49161.02,49895.71,51700.98,53955.98,55378.82,56174.38,55791.40,54868.20,53930.66,52717.72,51239.05,49987.22,49380.18,49128.82,47740.74,46328.15,44903.74,44182.39",48,11182.7633,11182.7633,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-09_00:30,DE_LU,Winter,Tuesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Tuesday. Is weekend: No.
Historical average load: 52819.01 MW","43632.23,43143.58,42559.13,42480.42,42641.44,42638.27,43008.36,43871.08,44559.44,46276.66,48996.54,54851.72,58169.52,61207.16,63877.41,65713.11,66647.76,66557.49,66965.64,66843.83,66985.12,67378.27,67634.43,67182.60,67112.61,67191.48,66286.80,65630.67,64496.82,64263.04,63247.41,63492.36,64486.70,66348.02,67071.27,66919.96,66310.16,65615.74,64280.38,62219.25,60174.66,58693.10,57238.44,55661.84,54148.70,52178.20,50639.89,49009.53",48,2115.7915,2115.7915,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-10_00:30,DE_LU,Winter,Wednesday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Wednesday. Is weekend: No.
Historical average load: 59611.59 ","47966.70,46592.76,46177.10,45840.88,45958.05,46239.02,46683.64,47318.60,48519.46,50711.77,52256.56,56541.22,59904.89,63200.24,65328.90,66698.02,67255.56,67251.27,67842.52,67999.77,68191.24,68394.17,68225.55,67716.72,67733.64,67513.21,66379.57,65633.48,65380.20,64939.32,64481.24,65170.12,66192.24,68214.83,69050.48,68789.95,68583.74,68008.26,66929.80,65133.78,63271.07,61675.74,59998.73,58515.64,56731.34,55113.84,53975.58,51865.82",48,1170.9531,1170.9531,100.0,True,persistence,persistence,0.0
energy_DE_LU_2023-01-11_00:30,DE_LU,Winter,Thursday,"The following is electricity load data (MW) recorded at 30-minute intervals in the DE_LU bidding zone.
Region: DE_LU. Season: Winter. Day: Thursday. Is weekend: No.
Historical average load: 61362.79 M","50409.41,49384.00,48844.10,48282.20,48243.52,48321.83,48634.88,49295.00,49778.00,51477.44,54403.36,58558.74,62085.38,65500.13,67550.68,68969.83,69238.12,68701.22,68777.68,68710.74,68990.79,69457.74,69654.74,68792.81,68385.10,67672.86,67041.42,66770.36,66502.45,66136.06,65642.76,65795.71,66886.30,68824.84,69263.65,69031.52,68765.40,67632.57,66800.74,64748.71,62546.73,61197.83,59462.52,58045.41,56476.24,55367.38,53687.50,52272.20",48,1348.6138,1348.6138,100.0,True,persistence,persistence,0.0
